id,chain,offer,n_lineas,n_visitas,lineas_por_mes,lineas_por_visita,gasto_total,repeattrips
3465135195,306,1197502,1414122,387,110942.97340206186,3654.062015503876,24120833.84,2124
3450535153,306,1197502,3155,289,233.10242718446602,10.916955017301039,194324.92,1418
4427711419,152,1203052,137472,111,37362.92571428572,1238.4864864864865,843069.01,549
4176323168,166,1203052,45253,196,5668.7297119341565,230.8826530612245,202978.21,104
239276354,116,1197502,346795,412,25498.646859903383,841.7354368932039,2339560.96,87
618764932,166,1200988,1985478,382,158214.52963350786,5197.586387434555,28756411.92,82
4683851813,166,1203052,1109,3,5626.326666666667,369.6666666666667,6558.97,80
4389020404,233,1197502,83533,139,18162.460857142858,600.956834532374,459654.1,72
4625744661,152,1208329,2871,366,210.07990384615385,7.844262295081967,12807.54,71
4083461977,166,1203052,52854,259,5345.102192691031,204.06949806949808,261426.31,70
